iddd2,Código,Item,n_resposta,train_subj,resp_relacao3,y_theta,y_score1,y_score2
M0002A071,M0002,A07,1,0,Cabide é o amante da Roupa. Porque namora com a roupa no armário,4,3,2
M0002A072,M0002,A07,2,0,Cabide é o confidente da Roupa. Porque estão muito próximos,3,1,2
M0002A073,M0002,A07,3,0,Cabide é o primeira dama da Roupa. Porque dá suporte sem ser notado,4,2,2
M0002A074,M0002,A07,4,0,Cabide é o sala de espera da Roupa. Onde a roupa espera para sair,4,2,2
M0002A081,M0002,A08,1,0,Amor é o capataz da Sentimentos. Ele faz com que os outros sentimentos sejam menores,3,1,2
M0002A082,M0002,A08,2,0,Amor é o ilusão da Sentimentos. Porque nunca parece o que realmente é,3,1,2
M0002A083,M0002,A08,3,0,Amor é o comunhão da Sentimentos. Porque dentro dele cabe os outros sentimentos,3,1,2
M0002A084,M0002,A08,4,0,Amor é o ausência dos sentimentos da Sentimentos. Porque quando ele surge os outros deixam de ter significado,3,1,1
M0002A091,M0002,A09,1,0,Peixes é o biscoitos da Mar. Porque os outros seres do mar o usam como alimentam,3,1,2
M0002A092,M0002,A09,2,0,Peixes é o filhos da Mar. Porque surgiram do mar,3,1,1
M0002A093,M0002,A09,3,0,Peixes é o trabalhadores da Mar. Eles produzem a vida marinha,2,0,0
M0002A094,M0002,A09,4,0,Peixes é o inquilinos da Mar. Porque moram lá e não são donos,3,1,1
M0003F011,M0003,F01,1,1,Macaco é o habitante da Floresta. Reside na floresta,1,0,0
M0003F012,M0003,F01,2,1,Macaco é o personagem da Floresta. Faz parte da floresta,2,0,0
M0003F013,M0003,F01,3,1,Macaco é o peralta da Floresta. Porque ele faz muitas artes,1,0,0
M0003F014,M0003,F01,4,1,Macaco é o brincalhão da Floresta. Porque parece uma criança,2,0,0
M0003E021,M0003,E02,1,1,Grama é o cobertura da Terra. Porque cobre a terra,2,0,0
M0003E022,M0003,E02,2,1,Grama é o filha da Terra. Porque nasce da terra,3,1,1
M0003E023,M0003,E02,3,1,Grama é o decoração da Terra. Porque ornamenta.,3,1,1
M0003E024,M0003,E02,4,1,Grama é o essência da Terra. Porque faz parte,1,0,0
M0003B031,M0003,B03,1,1,Espuma é o perfume da Sabao. Por causa do cheiro,1,0,0
M0003B032,M0003,B03,2,1,Espuma é o limpeza da Sabao. Higiene,1,0,0
M0003B041,M0003,B04,1,1,Trovao é o responsável da Chuva. Porque é sinal que vem chuva,1,0,0
M0003B042,M0003,B04,2,1,Trovao é o mensageiro da Chuva. Porque é sinal que vem chuva,3,1,1
M0003B051,M0003,B05,1,1,Nuvens é o cobertura da Ceu. Porque protege o céu.,2,0,0
M0003B052,M0003,B05,2,1,Nuvens é o almofadas da Ceu. Porque parece travesseiro,2,1,1
M0003F061,M0003,F06,1,1,Sono é o preguiça da Acordar. Porque não dá vontade de acordar,1,0,0
M0003F062,M0003,F06,2,1,Sono é o moleza da Acordar. Porque não dá vontade de acordar,1,0,0
M0003F071,M0003,F07,1,1,Dor é o sofrimento da Ferimento. Porque faz sofrer,2,0,0
M0003F072,M0003,F07,2,1,Dor é o sintoma da Ferimento. NA,1,0,0
M0003B081,M0003,B08,1,1,Semaforo é o responsável da Rua. Porque coloca ordem,2,1,1
M0003B082,M0003,B08,2,1,Semaforo é o ordem da Rua. Porque coloca ordem,2,0,0
M0003B083,M0003,B08,3,1,Semaforo é o sinaleiro da Rua. Porque é um aviso,2,0,0
M0003B091,M0003,B09,1,1,Moto é o inimigo da Automoveis. Porque é um meio de transporte perigoso,2,0,0
M0004F011,M0004,F01,1,1,Macaco é o palhaço da Floresta. Floresta=circo e macaco=palhaço,3,1,1
M0004F012,M0004,F01,2,1,Macaco é o homem da Floresta. Questão evolutiva,4,2,2
M0004E021,M0004,E02,1,1,Grama é o cobertor da Terra. Porque protege a terra do tempo,4,2,2
M0004E022,M0004,E02,2,1,Grama é o maquiagem da Terra. Disfarça,4,3,2
M0004E023,M0004,E02,3,1,Grama é o peruca da Terra. Melhora a aparência,4,3,2
M0004A031,M0004,A03,1,1,Estrelas é o coadjuvantes da Noite. Porque o ator principal da noite é a lua e as estrelas são os personagens secundários.,4,3,2
M0004A041,M0004,A04,1,1,Bola é o filho da Jogadores. Tem que cuidar para que ela vai para o lugar certo.,4,2,2
M0004A051,M0004,A05,1,1,Planetas é o filhos da Sol. O Sol cuida dos planetas,4,2,2
M0004A052,M0004,A05,2,1,"Planetas é o elétrons da Sol. Porque assim como os planetas, os elétrons giram em uma corrente",3,1,1
M0004A053,M0004,A05,3,1,Planetas é o bambolês da Sol. Giram em torno do Sol,3,2,2
M0004A061,M0004,A06,1,1,Onibus é o embalagens da Cidade. Reconhece por fora mas não sabe o que tem por dentro.,4,2,2
M0004A062,M0004,A06,2,1,"Onibus é o colesterol da Cidade. Quanto mais tem, mais vai entupindo as vias principais",4,3,3
M0004A071,M0004,A07,1,1,Cabide é o moral da Roupa. O que sustenta a pessoa é a moral,3,1,1
M0004A081,M0004,A08,1,1,Amor é o tirano da Sentimentos. Ele que comanda o que vai acontecer (sentimentos),4,2,2
M0004A091,M0004,A09,1,1,Peixes é o astros da Mar. Quando entramos no mar queremos ver os peixes.,3,2,2
M0005F011,M0005,F01,1,0,Macaco é o oásis da Floresta. Não tem fronteira,1,0,0
M0005F012,M0005,F01,2,0,Macaco é o bolinha da Floresta. Porque pula e é dinâmico,2,0,0
M0005F013,M0005,F01,3,0,Macaco é o comilão da Floresta. Porque come muito,2,0,0
M0005F014,M0005,F01,4,0,Macaco é o peralta da Floresta. Porque ele faz malandragem,2,1,1
M0005E021,M0005,E02,1,0,Grama é o vida da Terra. é o nascimento,2,0,0
M0005E022,M0005,E02,2,0,Grama é o sulgadora da Terra. Porque depende da terra para viver,1,0,0
M0005E023,M0005,E02,3,0,Grama é o Tapete da Terra. Porque é a cobertura,3,1,1
M0005E024,M0005,E02,4,0,Grama é o Vitrifica da Terra. Porque isola,1,0,0
M0005B031,M0005,B03,1,0,Espuma é o Luz da Sabao. Porque é a transformação,2,1,1
M0005B032,M0005,B03,2,0,Espuma é o Vida da Sabao. Porque é a razão do sabão,2,1,1
M0005B033,M0005,B03,3,0,Espuma é o Vóz da Sabao. NA,2,0,0
M0005B034,M0005,B03,4,0,Espuma é o Grito da Sabao. Porque a espuma estoura,2,1,1
M0005B041,M0005,B04,1,0,Trovao é o Grito da Chuva. Porque é a manifestação,3,1,1
M0005B042,M0005,B04,2,0,Trovao é o Som da Chuva. Porque é a razão,2,0,0
M0005B043,M0005,B04,3,0,Trovao é o Libertação da Chuva. Porque após o trovão vem a chuva,3,1,1
M0005B044,M0005,B04,4,0,Trovao é o Fogo artificial da Chuva. Porque é um anúncio,3,1,1
M0005B051,M0005,B05,1,0,Nuvens é o Algodão da Ceu. Porque são branquinhos e leves,3,1,1
M0005B052,M0005,B05,2,0,Nuvens é o Sonho da Ceu. Porque você imagina o que quiser com elas,2,1,1
M0005B053,M0005,B05,3,0,Nuvens é o Imagens da Ceu. Porque vê várias imagens,3,1,1
M0005B054,M0005,B05,4,0,Nuvens é o Segredos da Ceu. Porque é a magia da formação da chuva,3,1,1
M0005F061,M0005,F06,1,0,Sono é o Realidade da Acordar. Todo sonho tem um fim,2,0,0
M0005F062,M0005,F06,2,0,Sono é o Desespero da Acordar. Porque é desagradável acordar,2,0,0
M0005F063,M0005,F06,3,0,Sono é o Drama da Acordar. Porque é interrompido,1,0,0
M0005F064,M0005,F06,4,0,Sono é o Trauma da Acordar. Porque interrompe o relaxamento físico,2,0,0
M0005F071,M0005,F07,1,0,Dor é o Desgosto da Ferimento. Porque é feio,2,0,0
M0005F072,M0005,F07,2,0,Dor é o Chatice da Ferimento. Porque incomoda,2,0,0
M0005F073,M0005,F07,3,0,Dor é o maldade da Ferimento. Porque não deveria acontecer,2,0,0
M0005F074,M0005,F07,4,0,Dor é o Horror da Ferimento. Porque é um trauma na pele/físico,2,0,0
M0005B081,M0005,B08,1,0,Semaforo é o Respeito da Rua. Ordem no trãnsito,2,1,1
M0005B082,M0005,B08,2,0,Semaforo é o Lei da Rua. Ordem no trãnsito,3,1,1
M0005B083,M0005,B08,3,0,Semaforo é o João-bobo da Rua. Porque faz a mesma função 24 horas,2,0,0
M0005B084,M0005,B08,4,0,Semaforo é o Pisca-pisca da Rua. Porque é igual à árvore de Natal,3,1,1
M0005B091,M0005,B09,1,0,Moto é o Inimigo da Automoveis. Porque ela pode mais que eles,3,1,1
M0005B092,M0005,B09,2,0,Moto é o Asa da Automoveis. Porque ela alcança com mais agilidade,2,0,0
M0005B093,M0005,B09,3,0,Moto é o Vulto da Automoveis. Por ser mais veloz,4,2,2
M0005B094,M0005,B09,4,0,Moto é o Relâmpago da Automoveis. Porque é ágil,3,2,2
M0006F011,M0006,F01,1,1,"Macaco é o palhaço da Floresta. gostam de brincar,pula,diverte os outros",3,2,2
M0006F012,M0006,F01,2,1,"Macaco é o acrobata da Floresta. pula, salta como acrobata no trapézio",3,1,1
M0006F013,M0006,F01,3,1,"Macaco é o criança peralta da Floresta. mesmo padrão do palhaço (pula, brinca)",3,1,1
M0006F014,M0006,F01,4,1,"Macaco é o brincalhão da Floresta. mesmo padrão da criança (pula, brinca)",3,1,1
M0006E021,M0006,E02,1,1,Grama é o carpete da Terra. reveste a terra,3,2,2
M0006E022,M0006,E02,2,1,Grama é o tapete da Terra. reveste a terra,3,1,1
M0006E023,M0006,E02,3,1,Grama é o asfalto da Terra. cobre a rua,4,3,2
M0006E024,M0006,E02,4,1,Grama é o base da Terra. como se fosse o piso da casa,1,0,0
M0006B031,M0006,B03,1,1,Espuma é o suor da Sabao. espuma sai do sabão=suor corpo,4,3,2
M0006B032,M0006,B03,2,1,Espuma é o condensação da Sabao. o sabão some como a água q condensa,3,1,1
M0006B033,M0006,B03,3,1,Espuma é o chuva da Sabao. a nuvem vira chuva=sabão espuma,3,1,1
M0006B041,M0006,B04,1,1,Trovao é o grito da Chuva. o trovão é como o grito de uma pessoa,3,2,2
M0006B042,M0006,B04,2,1,Trovao é o barulho da Chuva. trovão chuva= barulho do motor,2,0,0
M0006B043,M0006,B04,3,1,Trovao é o voz da Chuva. trovão é como a voz de uma pessoa,2,0,0
M0006B044,M0006,B04,4,1,Trovao é o urro da Chuva. trovão é como urro de um urso,4,3,2
M0006B051,M0006,B05,1,1,Nuvens é o tetos da Ceu. as nuvens seriam limites do céu como os tetos da casa,3,2,2
M0006B052,M0006,B05,2,1,Nuvens é o oceanos da Ceu. se o céu fosse terra as nuvens seriam oceanos,2,0,0
M0006B053,M0006,B05,3,1,Nuvens é o ilhas da Ceu. se o oceano fosse céu as nuvens seriam as ilhas dele,3,1,1
M0006B054,M0006,B05,4,1,Nuvens é o continentes da Ceu. se o céu fosse terra as nuvens seriam continentes por serem mais sólidos,3,1,1
M0006F061,M0006,F06,1,1,Sono é o obrigação da Acordar. para acordar tem q ter obrigação pra dormir,1,0,0
M0006F071,M0006,F07,1,1,Dor é o sofrimento da Ferimento. se o ferimento fosse uma pessoa o sofrimento seria a dor,3,2,2
M0006F072,M0006,F07,2,1,Dor é o ordem da Ferimento. obrigação de fazer algo,3,2,2
M0006B081,M0006,B08,1,1,Semaforo é o maestro da Rua. maestro controla a orquestra=semáforo na rua,4,3,2
M0006B082,M0006,B08,2,1,Semaforo é o juiz da Rua. juiz manda na rua=semáforo na rua,3,2,2
M0006B083,M0006,B08,3,1,Semaforo é o prefeito da Rua. controle,4,3,2
M0006B084,M0006,B08,4,1,Semaforo é o Professor da Rua. controle,4,3,2
M0006B091,M0006,B09,1,1,Moto é o egoísmo da Automoveis. pq na moto só leva 2 pessoas e o carro mais,4,3,2
M0006B092,M0006,B09,2,1,Moto é o leopardo da Automoveis. pq o leopardo é rápido como a moto,4,3,2
M0006B093,M0006,B09,3,1,Moto é o jato supersônico da Automoveis. rápido também,3,2,2
M0006B094,M0006,B09,4,1,Moto é o atleta da Automoveis. pq o atleta de 100m é + rápido como a moto,3,1,1
M0007F011,M0007,F01,1,1,Macaco é o palhaço da Floresta. não para de pular,2,1,1
M0007F012,M0007,F01,2,1,Macaco é o serelepe da Floresta. agitado,1,0,0
M0007F013,M0007,F01,3,1,Macaco é o alegria da Floresta. todos riem,2,0,0
M0007F014,M0007,F01,4,1,Macaco é o ladrão da Floresta. rouba frutas,3,1,1
M0007E021,M0007,E02,1,1,Grama é o barba da Terra. tem que aparar,4,3,2
M0007E022,M0007,E02,2,1,Grama é o tapete da Terra. macio,3,2,2
M0007E023,M0007,E02,3,1,Grama é o cabelo da Terra. porque cresce,4,2,2
M0007E024,M0007,E02,4,1,Grama é o protetor da Terra. refresca e protege do sol,1,0,0
M0007A031,M0007,A03,1,1,Estrelas é o vagalumes da Noite. porque pisca,3,1,1
M0007A032,M0007,A03,2,1,Estrelas é o enfeites da Noite. porque são belas,2,1,1
M0007A033,M0007,A03,3,1,Estrelas é o guardiãs da Noite. porque ficam alertas,2,1,1
M0007A034,M0007,A03,4,1,Estrelas é o lâmpadas da Noite. porque clareiam,2,1,1
M0007A041,M0007,A04,1,1,Bola é o raiva da Jogadores. porque é o desabafo deles,2,0,0
M0007A042,M0007,A04,2,1,Bola é o garra da Jogadores. vontade de vencer,2,1,1
M0007A043,M0007,A04,3,1,Bola é o alegria da Jogadores. por gostar de esporte,2,0,0
M0007A044,M0007,A04,4,1,Bola é o troféu da Jogadores. importância,2,1,1
M0007A051,M0007,A05,1,1,Planetas é o amigos da Sol. porque estão sempre por perto,3,1,1
M0007A052,M0007,A05,2,1,Planetas é o parentes da Sol. NA,3,1,1
M0007A053,M0007,A05,3,1,Planetas é o vizinhos da Sol. porque está um do lado do outro,2,1,1
M0007A061,M0007,A06,1,1,Onibus é o elefantes da Cidade. porque são grandes,4,2,2
M0007A062,M0007,A06,2,1,Onibus é o carregadores da Cidade. transportam pessoas,2,1,1
M0007A063,M0007,A06,3,1,Onibus é o centopéia da Cidade. porque tem varios pés,4,2,2
M0007A071,M0007,A07,1,1,Cabide é o empregado da Roupa. porque carrega e segura a roupa,2,1,1
M0007A072,M0007,A07,2,1,Cabide é o namorado da Roupa. porque estão sempre juntos,3,1,1
M0007A073,M0007,A07,3,1,Cabide é o protetor da Roupa. porque não deixa sujar,2,0,0
M0007A074,M0007,A07,4,1,Cabide é o mãe da Roupa. porque abraça a roupa,2,1,1
M0007A081,M0007,A08,1,1,Amor é o alegria da Sentimentos. porque traz paz,1,0,0
M0007A082,M0007,A08,2,1,Amor é o aconhego da Sentimentos. porque envolve,1,0,0
M0007A083,M0007,A08,3,1,Amor é o afago da Sentimentos. porque é o carinho,2,0,0
M0007A084,M0007,A08,4,1,Amor é o calmante da Sentimentos. porque traz paz,2,0,0
M0007A091,M0007,A09,1,1,Peixes é o enfeites da Mar. porque são coloridos,3,1,1
M0007A092,M0007,A09,2,1,Peixes é o moradores da Mar. porque vivem no mar,1,0,0
M0007A093,M0007,A09,3,1,Peixes é o pirilampos da Mar. porque alguns são fluorescentes,3,1,1
M0007A094,M0007,A09,4,1,Peixes é o bailarinos da Mar. porque nada sem parar,4,3,2
M0008F011,M0008,F01,1,0,"Macaco é o atleta da Floresta. bicho esperto, sempre pulando",3,1,1
M0008F012,M0008,F01,2,0,Macaco é o palhaço da Floresta. alegria,4,2,2
M0008F013,M0008,F01,3,0,Macaco é o equilibrista da Floresta. porque se equilibra com o rabo,3,1,1
M0008F014,M0008,F01,4,0,"Macaco é o homem da Floresta. por causa do meio, coisas que o homem controla",3,1,1
M0008E021,M0008,E02,1,0,Grama é o proteção da Terra. camada que protege a terra,2,0,0
M0008E022,M0008,E02,2,0,Grama é o filho da Terra. porque terra é fértil e nasce a grama,4,2,2
M0008E023,M0008,E02,3,0,Grama é o voz da Terra. resposta que a terra tem se é fértil,4,3,2
M0008E024,M0008,E02,4,0,Grama é o porta da Terra. para chegar a terra tem que passar pela grama,3,1,1
M0008B031,M0008,B03,1,0,Espuma é o fim da Sabao. porque gasta sabão,3,1,1
M0008B032,M0008,B03,2,0,"Espuma é o festa da Sabao. engraçada, alegria",2,0,1
M0008B033,M0008,B03,3,0,"Espuma é o multiplicação da Sabao. resultado, esfregando em bolinhas menores",3,1,1
M0008B034,M0008,B03,4,0,"Espuma é o resultado da Sabao. que nem matemática, soma e multiplica",3,1,1
M0008B041,M0008,B04,1,0,Trovao é o força da Chuva. a chuva é delicada e o trovão é o descarrego da chuva,3,1,1
M0008B042,M0008,B04,2,0,"Trovao é o raiva da Chuva. resposta da chuva, ignorância",3,1,1
M0008B043,M0008,B04,3,0,Trovao é o arma da Chuva. enfrentar a terra,4,2,2
M0008B044,M0008,B04,4,0,Trovao é o curto circuíto da Chuva. ela fica maluca e a resposta é o trovão,4,2,2
M0008B051,M0008,B05,1,0,Nuvens é o leveza da Ceu. sensação de ser leve,1,0,0
M0008B052,M0008,B05,2,0,"Nuvens é o fotos da Ceu. por causa dos formatos, são fotos que o céu mostra para a gente",3,1,1
M0008B053,M0008,B05,3,0,Nuvens é o floresta da Ceu. por causa dos formatos das arvores,3,1,1
M0008B054,M0008,B05,4,0,Nuvens é o começo da Ceu. céu é infinito o inicio são as nuvens,2,0,1
M0008F061,M0008,F06,1,0,"Sono é o inimigo da Acordar. são contrários, um impede o outro",3,1,1
M0008F062,M0008,F06,2,0,Sono é o droga da Acordar. entorpecente que impede o acordar,4,2,2
M0008F063,M0008,F06,3,0,Sono é o impedimento da Acordar. dificulta o despertar,1,0,0
M0008F064,M0008,F06,4,0,Sono é o cama macia e aconchegante da Acordar. porque você não quer sair dela,1,0,0
M0008F071,M0008,F07,1,0,Dor é o resposta da Ferimento. se tem um ferimento a dor é uma resposta,1,0,0
M0008F072,M0008,F07,2,0,Dor é o inicio da cura da Ferimento. se não tivesse dor o ferimento continuaria sem avisar,2,0,0
M0008F073,M0008,F07,3,0,Dor é o voz da Ferimento. se não tivesse dor o ferimento continuaria sem avisar,4,2,2
M0008F074,M0008,F07,4,0,"Dor é o tato da Ferimento. tem haver com os cinco sentidos, sente a dor",2,0,0
M0008B081,M0008,B08,1,0,Semaforo é o guarda eletrico da Rua. guarda de transito que é eletrico,1,0,0
M0008B082,M0008,B08,2,0,Semaforo é o controle da Rua. controla o andamento,1,0,0
M0008B083,M0008,B08,3,0,"Semaforo é o coronel da Rua. como se mandasse na rua, tem poder",4,2,2
M0008B084,M0008,B08,4,0,Semaforo é o dono da Rua. poder de controlar,3,1,1
M0008B091,M0008,B09,1,0,"Moto é o praga da Automoveis. que nem gafanhotos, quando invadem tem muitos",4,3,2
M0008B092,M0008,B09,2,0,Moto é o adversária da Automoveis. porque compete,3,1,1
M0008B093,M0008,B09,3,0,"Moto é o compacto da Automoveis. é um carro compacto, tem todas as funções",3,1,1
M0008B094,M0008,B09,4,0,"Moto é o garota rebelde da Automoveis. leva ao perigo, aventura, não se preocupa com nada",4,2,2
M0009F011,M0009,F01,1,1,Macaco é o Barulhento da Floresta. O macaco faz barulho,1,0,0
M0009E021,M0009,E02,1,1,Grama é o Pele da Terra. Porque recobre a terra,3,1,1
M0009A031,M0009,A03,1,1,Estrelas é o Luzes da Noite. Porque a noite é escura,2,0,0
M0009A041,M0009,A04,1,1,Bola é o Brinquedo da Jogadores. Porque ela diverte jogadores,3,1,1
M0009A051,M0009,A05,1,1,Planetas é o Parceiros da Sol. Porque estão sempre todos juntos,3,1,1
M0009A061,M0009,A06,1,1,Onibus é o Monstros da Cidade. Porque são barulhentos e grandes,3,1,1
M0009A062,M0009,A06,2,1,Onibus é o Inimigos da Cidade. Porque tiram o sossego,2,0,1
M0009A071,M0009,A07,1,1,Cabide é o Amigo da Roupa. Porque ajuda manter em ordem,2,0,1
M0009A081,M0009,A08,1,1,Amor é o Melhor da Sentimentos. Porque protege,1,0,0
M0009A091,M0009,A09,1,1,Peixes é o Habitantes da Mar. Porque são os moradores do mar,1,0,0
M0009A092,M0009,A09,2,1,Peixes é o Alimentos da Mar. Porque são os nossos alimentos,1,0,0
M0010F011,M0010,F01,1,1,Macaco é o Palhaço da Floresta. Porque é alegre e divertido,4,2,2
M0010E021,M0010,E02,1,1,Grama é o Carpete da Terra. Porque recobre a terra,3,1,1
M0010B031,M0010,B03,1,1,Espuma é o Confete da Sabao. Porque seria uma manifestação da espuma,2,0,1
M0010B041,M0010,B04,1,1,Trovao é o Trombone da Chuva. Pelo barulho,3,1,1
M0010B051,M0010,B05,1,1,Nuvens é o Carneirinhos da Ceu. Por causa das formas,3,1,1
M0010B081,M0010,B08,1,1,Semaforo é o Sentinelas da Rua. Porque vigia,3,1,1
M0010B091,M0010,B09,1,1,Moto é o Piolho da Automoveis. Porque incomoda,3,1,1
M0011F011,M0011,F01,1,1,Macaco é o Malandro da Floresta. Tirar vantagens na situação,3,1,1
M0011F012,M0011,F01,2,1,Macaco é o Criança da Floresta. Hiperatividade,3,1,1
M0011F013,M0011,F01,3,1,Macaco é o Palhaço da Floresta. exerce todas as atividades,3,2,2
M0011F014,M0011,F01,4,1,"Macaco é o Alpinista da Floresta. subir em escadas, agilidade nas atividades",4,2,2
M0011E021,M0011,E02,1,1,"Grama é o Tapete da Terra. Cobre, Protege",3,2,2
M0011E022,M0011,E02,2,1,Grama é o Roupa da Terra. Protege,4,2,2
M0011E023,M0011,E02,3,1,Grama é o Pelo da Terra. Ornamenta,3,2,2
M0011E024,M0011,E02,4,1,Grama é o Pele da Terra. Proteção,4,2,2
M0011B031,M0011,B03,1,1,"Espuma é o Morte da Sabao. Fim, definhar",3,1,1
M0011B032,M0011,B03,2,1,"Espuma é o Grama da Sabao. terra, vida para grama, tb transformação",3,1,1
M0011B033,M0011,B03,3,1,"Espuma é o Martelo da Sabao. o operário com o martelo indica q está trabalhando, a espuma indica que o sabonete está trabalhando",3,1,1
M0011B034,M0011,B03,4,1,"Espuma é o Suor da Sabao. perda, troca, transformação",4,2,2
M0011B041,M0011,B04,1,1,"Trovao é o buzina da Chuva. avisa que pode acontecer algo, perigo",4,3,2
M0011B042,M0011,B04,2,1,"Trovao é o sinal verde da Chuva. diz o que é possível acontecer, informa",4,2,2
